"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"female",72,90,7.5,5,"Junior",0,1,30,10,7.5,54,53,1,"one",50
"female",67,200,10,6,"Senior",3,2,90,0,8,44,47,6,"one",40
"female",64,113,7,6,"Freshman",0,1,80,10,7,45,47,7,"few",20
"female",63,125,7,10,"Sophomore",0,1,60,30,8,41,44,8,"one",30
"female",68,102,10,35,"Senior",0,2,105,45,7,57,62,4,"dozens",35
"male",71,176,11,11,"Sophomore",0,1,100,1000,9,46,50,7,"hundreds",50
"female",62,115,6.5,20,"Sophomore",2,1,90,50,7.5,52,55,9,"one",50
"female",64,125,8,25,"Sophomore",3,2,90,0,7,45,45,5,"few",100
"male",72,300,13,4,"Junior",2,3,100,400,7.5,53,55,4,"one",100
"male",70,200,10.5,5,"Sophomore",3,2,155,38,6,50,52,5,"few",50
"female",64,145,7.5,25,"Sophomore",0,1,81,66,6.5,55,53,3,"few",100
"female",64,165,7.5,50,"Sophomore",5,4,100,4,8,47,47,3,"one",50
"female",67,135,8.5,8,"Freshman",4,2,115,0,7,48,51,10,"few",75
"female",65,130,9.5,26,"Junior",1,2,85,75,6.5,53,57,6,"few",67
"male",70,200,10.5,15,"Sophomore",4,3,95,1000,8,40,45,8,"few",10
"female",62,129,7.5,15,"Sophomore",0,3,97,22,7,42,55,3,"few",90
"female",68,130,7.5,15,"Junior",2,0,50,20,6.5,46,49,6,"few",80
"male",77,190,13,7,"Freshman",2,1,105,300,7,53,47,6,"dozens",0
"male",68,150,10,4,"Junior",6,1,85,0,8,47,55,4,"few",60
"female",61,98,6.5,26,"Sophomore",2,1,75,15,6.5,54,58,5,"few",95
"female",66,147,8.5,30,"Sophomore",1,2,97,65,6.5,49,51,3,"few",99
"male",68,135,8,5,"Sophomore",2,1,80,150,6,46,50,3,"one",25
"female",62,105,6.5,30,"Sophomore",0,2,110,80,8,53,51,9,"one",90
"female",64,135,8,30,"Sophomore",21,3,120,25,6,39,43,7,"few",50
"male",66,153,7.5,8,"Junior",2,2,85,45,6.5,59,59,3,"dozens",99
"male",68,154,10,10,"Sophomore",0,1,90,45,7.5,51,55,9,"few",15
"female",60,125,6.5,20,"Sophomore",0,3,20,150,7,56,58,3,"few",20
"female",62,113,6,35,"Junior",7,2,80,95,7,48,48,4,"millions",60
"female",62,105,8,11,"Senior",0,5,30,10,6.5,56,65,4,"few",20
"male",72,155,10.5,4,"Junior",0,2,20,69,6.5,55,57,7,"dozens",0
"female",61,117,6.5,15,"Sophomore",11,2,100,35,8,41,42,7,"few",30
"male",71,140,10,10,"Sophomore",4,2,100,50,7,46,50,6,"hundreds",50
"female",66,129,7,10,"Sophomore",1,3,30,20,7,55,60,4,"few",75
"male",71,170,10.5,7,"Senior",1,3,95,10,6.5,53,54,1,"one",50
"female",66,110,7.5,25,"Sophomore",3,2,80,0,7,53,54,4,"few",50
"female",60,106,5,20,"Sophomore",4,2,120,5,8,46,45,3,"one",50
"female",64,110,8,17,"Junior",3,3,90,40,8,58,59,7,"dozens",90
"female",65,156,10,20,"Sophomore",5,0,90,7,8.5,64,65,9,"few",80
"male",72,185,11,5,"Sophomore",3,2,100,55,7,53,52,8,"millions",75
"male",70,160,11,6,"Sophomore",0,1,110,200,8.5,43,53,4,"thousands",15
"female",67,109,8,15,"Junior",0,2,85,10,6.5,57,53,7,"few",50
"male",73,163,12,3,"Senior",2,3,110,10,6,45,43,5,"one",75
"female",70,190,10,5,"Sophomore",2,0,63,0,7,40,40,5,"one",50
"female",64,114,7.5,50,"Sophomore",1,2,110,500,7.5,48,54,7,"few",40
"male",72,168,11,4,"Freshman",1,1,90,30,7,56,58,6,"few",100
"male",69,160,11,10,"Junior",3,1,164,80,6.5,54,54,9,"few",40
"male",69,145,9.5,5,"Sophomore",0,1,105,24,7,46,50,9,"few",75
"female",65,110,6.5,9,"Junior",1,1,100,7,7,55,58,6,"few",50
"male",70,148,9.5,5,"Freshman",0,1,56,130,6.5,47,48,8,"few",10
"female",61,102,6.5,8,"Sophomore",1,1,90,150,6,48,63,4,"few",70
"female",63,140,8.5,30,"Freshman",3,2,100,45,6.5,56,62,7,"thousands",50
"male",70,190,12,4,"Sophomore",0,0,50,20,8,52,51,7,"none",50
"female",62,115,7,18,"Freshman",0,0,90,20,5.5,50,53,9,"few",40
"male",68,150,12,6,"Sophomore",2,2,111,31,6,46,47,4,"few",100
"male",68,180,10,13,"Freshman",2,2,120,35,6,44,40,9,"few",10
"female",62,126,6,10,"Sophomore",2,0,55,0,6,52,55,7,"few",100
"female",61,145,7,35,"Sophomore",1,1,135,27,6,56,60,5,"one",0
"female",67,170,10,40,"Sophomore",0,3,90,30,7,49,59,10,"one",10
"male",73,150,12,5,"Sophomore",4,2,100,0,7.5,63,61,4,"dozens",0
"female",65,160,9,8,"Sophomore",4,6,80,30,6,46,59,4,"one",60
"male",77,178,13.5,9,"Sophomore",12,3,115,0,8,53,60,4,"thousands",100
"female",62,149,7.5,4,"Senior",1,3,101,55,6,37,38,3,"dozens",40
"female",68,140,9,30,"Sophomore",0,1,90,150,6,54,54,9,"few",70
"female",66,115,8,25,"Sophomore",4,5,100,7,7,60,62,6,"few",65
"male",67,150,8.5,6,"Sophomore",3,2,90,50,6,55,55,1,"few",50
"female",66,145,8.5,20,"Sophomore",1,7,70,10,6.5,46,65,10,"one",75
"female",65,110,7.5,4,"Sophomore",1,7,62,200,9.5,40,50,7,"one",50
"female",63,161,6.5,4,"Senior",2,1,90,20,6.5,42,47,4,"few",50
"male",66,120,10.5,4,"Sophomore",2,0,80,1000,7.5,48,48,7,"few",90
"female",65,113,9,30,"Senior",25,3,95,16,7.5,47,48,10,"few",100
"male",72,205,12,4,"Senior",0,1,80,150,7.5,56,59,2,"one",100
"female",64,130,9,10,"Junior",3,3,90,20,6,49,52,8,"one",50
"female",69,133,9,24,"Freshman",0,1,100,20,8,51,53,3,"one",34
"male",72,154,13,6,"Junior",5,0,100,34,6.5,47,48,3,"one",50
"female",65,125,7.5,10,"Sophomore",0,1,90,100,7,47,49,5,"one",50
"female",71,136,9,30,"Sophomore",1,1,100,20,8,53,51,4,"one",75
"female",67,149,8.5,15,"Junior",4,2,90,6,7,48,52,8,"dozens",100
"male",71,200,12,3,"Freshman",2,2,90,90,7,42,46,7,"dozens",60
